instruction,response
"İşyeri eğitimi ve staj
yapılacak firmaları nasıl
bulabilirim?","Bölümümüz paydaş firmalarına göz atarak anlaşmalı firmalar ile iletişim kurulabilir.
Bölümümüzün paydaş firmalarına bölümün resmi web sayfasından erişebilirsiniz."
"İşyeri eğitimi ve staj
evraklarına nerden
erişebilirim?",İşyeri eğitimi ve staj evraklarına bölümün resmi web sayfasından erişebilirsiniz.
"İşyeri eğitimi
evraklarından kaç adet
çıkarmalıyım?","Müstahaklık belgesiyle beraber 1 nüsha defter için öğrenciye, 1 nüsha sigorta girişi
için bölüm sekreterliğine, 1 nüsha staja başlamak için şirket sorumlusuna olmak
üzere ıslak imzalı toplam 3 nüsha çıkarılmalıdır."
"İşyeri eğitimi ve staj
evraklarını en son ne
zaman ve kime teslim
etmem gerekiyor?","İşyeri eğitimi ve staj evrakları onaylandıktan sonra dönem başlangıcından en geç 2
hafta önce bölüm sekreterliğine teslim edilmelidir."
"İşyeri eğitimi hangi
tarihler arasında
yapılmaktadır?","İşyeri eğitimi akademik takvimde belirtilen ders başlangıç ve ders bitiş tarihleri
arasında eğitim-öğretim dönemi süresince yapılmaktadır."
"İşyeri eğitiminde
öğrencilerin sigortası
kim tarafından
ödenmektedir?",İşyeri eğitiminde öğrencilerin sigortası üniversite tarafından ödenmektedir
"İşyeri eğitimi ve staj
kamu kurum ve
kuruluşlarında yapılabilir
mi?",İşyeri eğitimi ve staj kamu kurum ve kuruluşlarında yapılabilir.
"İşyeri eğitimi ve staj
sırasında konaklama ve
yeme-içme nasıl
karşılanmaktadır?","İşyeri eğitimi ve staj süresince konaklama ve yeme-içme öğrenciler tarafından
karşılanmaktadır."
"İşyeri eğitimi ve stajda
öğrenciye ücret ödeniyor
mu?",6111 sayılı kanuna göre şirket isterse öğrenciye ücret verebilir ve vergiden muaftır.
"Alttan devam
zorunluluğu olan dersim
varken işyeri eğitimine
gidebilir miyim?",Devam zorunluluğu olan ders ile işyeri eğitimi dersi alınamaz.
"İşyeri eğitimi ile en fazla
kaç adet ders alabilirim?","Öğrenci tüm dersleri vermiş mezun durumunda ise en fazla 4 aksi halde en fazla 3
ders alabilir."
"İşyeri eğitimiyle beraber
4. sınıf dersleri alınabilir
mi?","Öğrenci ilk kez 4. sınıfı okuyorsa o dönem İşyeri eğitimi ile diğer dönemindeki 4.
sınıf derslerini alamaz.Öğrenci 4. sınıfı daha önce okuduysa (okulu uzatmış, 5, 6, veya 7. yılında ise) İşyeri ile 4. sınıfın farklı dönemlerdeki dersler için eşdeğer tutulan dersleri alabilir."
"İşyeri eğitimi dersini
hangi dönem alacağım?
İstediğim dönem
yapabilir miyim?","Öğrenci numarası tek olanlar Güz, çift olanlar ise Bahar yarıyılında işyeri eğitimini
tamamlayacaklardır. "
"İşyeri eğitimi dönem
değişikliği (Becayiş)
nedir?","Ders kayıt kuralları içerisinde yer alan devam zorunluluğu olan ders olması, ders
yükü sorunu, çapraza düşme vb. sorunlar hariç dönem değişikliği için herhangi bir
mazeret kabul edilmemektedir. Bu sebeplerden ötürü dilekçe ile dönem değişikliği için başvuru yapılmasına gerek yoktur. Ancak bu sebepler dışında dönem değişikliği yapmak isteyen öğrenciler kendi
aralarında (ikinci öğretim öğrencileri ikinci öğretim öğrencileri ile, örgün öğretim
öğrencileri örgün öğretim öğrencileri ile) danışman hocaları ve İşyeri eğitimi
komisyonu tarafından onaylanırsa becayiş yapabileceklerdir."
Becayiş dilekçesine nasıl ulaşabilirim?,Becayiş dilekçesine bölümün resmi web sayfasından ulaşabilirsiniz.
"Becayiş dilekçesini kime
vereceğim?","Dilekçeyi her iki öğrencinin de doldurması gerekmekte olup dilekçeler aynı anda
her öğrenci için 2 nüsha halinde (1 nüsha işyeri eğitimi defterine, 1 nüsha danışman
hocaya) teslim edilecektir."
"İşyeri eğitimini yapması
gereken dönemde
almayan ve becayiş
yapmayan öğrencinin
ders seçimi nasıl olur?","İşyeri eğitimini alması gereken dönemde almayan ve becayiş yapmayan öğrenci
işyeri eğitimini alıyormuş gibi değerlendirilir ve o dönem en fazla 3 ders alabilir."
"İşletmede işyeri ve staj
evraklarına kimler imza
atabilir?","İşletmede işyeri ve staj belgelerini yazılım mühendisi ve bilgisayar mühendisi
imzalamalıdır. İşyeri ve staj yapılacak firmada belirtilen mühendislerden en az
birinin bulunması gerekmektedir."
"İşyeri eğitimi ve staj
derslerinin sunumları ne
zaman yapılır?","İşyeri eğitimi ve staj dersi sunumları Final ve Bütünleme haftasında komisyonca
belirlenen günlerde yapılmaktadır. "
"İşyeri eğitimi kaç kredi
ve AKTS’dir?",İşyeri eğitimi 13 kredi ve 20 AKTS’dir.
"Stajlar kaç kredi ve
AKTS’dir?",Stajlar 1 kredi ve 5 AKTS’dir.
"İşyeri eğitimi ve staj
notları nasıl belirlenir?","İşyeri eğitimi ve staj notlarının belirlenmesinde çeşitli değerlendirme ölçütleri
bulunmaktadır. Bu ölçütlere bölümün resmi web sitesinden erişebilirsiniz."
"Nihai işyeri eğitimi ve
staj notları nasıl
hesaplanır?",Nihai işyeri eğitimi ve staj notları hesaplanırken aşağıdaki formül kullanılır; 𝑛𝑖ℎ𝑎𝑖𝑁𝑜𝑡 = 𝑑𝑒𝑓𝑡𝑒𝑟𝑁𝑜𝑡𝑢 ∗ 0.4+ 𝑚ü𝑙𝑎𝑘𝑎𝑡𝑁𝑜𝑡𝑢 ∗ 0.3 + 𝑓𝑖𝑟𝑚𝑎𝑁𝑜𝑡𝑢 ∗ 0.3
"İşyeri eğitimi kaç gün
sürüyor? ",İşyeri eğitimi bir dönem boyunca 70 iş günü sürmektedir.
Stajlar kaç gün sürüyor?,Stajlar her biri 20 iş günü olmak üzere toplamda 40 iş günü sürmektedir.
"Staj notlarım ne zaman
sisteme girilecek?",Staj notları dersi seçtiğiniz dönemin sonunda sisteme eklenecektir.
"İşyeri ve staj evraklarını
nereye teslim edeceğim?","İşyeri eğitimi ve staj evrakları, ilgili komisyonlarca onaylandıktan sonra bölüm
sekreterliğine imza karşılığında teslim edilmektedir."
"Stajımı Erasmus ile
yapacağım. Hangi
evrakları teslim etmem
gerekiyor?","Bir öğrencinin Erasmus programı kapsamında yapacağı staj süreci için gerekli olan belgeleri ve evrakları öğrenmek istediği bir durumu ifade eder. Öğrenci, Erasmus stajı için gereken resmi belgelerin neler olduğunu ve bu belgeleri hangi tarihlerde ve nereye teslim etmesi gerektiğini öğrenmek ister. Bu soru, öğrencinin Erasmus stajı sürecini başlatırken gerekli hazırlıkları yapabilmesi ve gerekli prosedürleri yerine getirebilmesi için bilgi almak istediğini ifade eder."
"Stajımı Erasmus ile
yapacağım. Harç
yatırmam gerekir mi?","Bir öğrencinin Erasmus programı kapsamında yapacağı staj sürecinde harç ödemesi yapması gerekip gerekmediğini öğrenmek istediği bir durumu ifade eder. Öğrenci, Erasmus stajı için harç ödemesi gerekip gerekmediğini ve bu konuda ne tür prosedürlerin uygulandığını öğrenmek ister. Bu soru, öğrencinin Erasmus stajı sürecini finansal açıdan planlamasına yardımcı olmak ve gereksiz harcamalardan kaçınmak için bilgi almak istediğini ifade eder."
"İşyeri eğitimine gitmek
için hangi dersleri
seçeceğim?","2013 müfredatına tabi olan öğrenciler, YMT411 İşyeri Eğitimi dersini seçeceklerdir.
2016 müfredatına tabi olan öğrenciler ise, YMH411 İşyeri Eğitimi ve YMH417
İşyeri Eğitimi Uygulaması derslerini seçecektirler."
"Daha önce stajlarını
yapmadım. İşyeri
eğitimine gidebilir
miyim?","İşyeri eğitimine gidebilmek için stajlardan en az bir tanesinin yapılmış olması
gerekmektedir."
"Dördüncü sınıftayım. 10
ders alabilir miyim?
Sistem 10 ders almama
izin veriyor.","Dördüncü sınıfta öğrencilerin ders yükü 9’dur. Ancak, tüm derslerini bitirip,
fazladan alınacak bir ders ile mezun olabilecek öğrencilere 10 ders
verilebilmektedir."
"Mezun oldum.
Diplomayı nerden
alacağım?",Mezun olan öğrenciler diplomalarını Fırat Üniversitesi Öğrenci İşlerinden alacaktır.
"Ders kaydı yaparken
hangi kodlu dersleri
almam gerekiyor?","2016 yılı öncesinde bölümüze yerleşen öğrenciler YMT kodlu dersleri
seçeceklerdir.
2016 sonrasında kayıt yapan öğrenciler ise YMH kodlu dersleri seçmektedirler."
"Başka bir bölüm ya da
fakülteden ders alabilir
miyim?",Ortak dersler dışında başka bir bölüm ya da fakülteden ders alınmamaktadır.
"Ders kaydı yaparken üst
sınıftan ders alabilir
miyim?","Öğrencinin bulunduğu sınıfın alt yarıyıllarından dersi varsa, üst yarıyıldan ders
alamaz. İlk iki yarıyılı tamamlamak şartıyla, alt yarıyıllardan dersi olmayan
öğrencilerden GNO (Genel Not Ortalaması)’su en az 2.50 olan öğrenciler, üst
yarıyıldan en fazla üç ders alabilirler."
"Bir dönemde en fazla kaç
ders alabilirim?","Öğrencilerin bir yarıyıldaki ders yükü, öğrencinin talebi ve danışmanın onayı ile en
fazla üç ders arttırılabilir.
Ders yüklerine bölümün resmi web sayfasından erişilebilir."
"Bitirme projesini
herhangi bir dönem
alabilir miyim?","Bitirme projesi dördüncü sınıfın ders döneminde alınmaktadır. İşyeri eğitimi
döneminde ise, bitirme projesi daha önceden alınmış ve başarısız olunmuşsa
alınabilir."
"Ders kaydımı yaparken
önce hangi dersleri
alacağım?","Öğrenci, ders seçme işleminde, önceki yarıyıllarda devamsız ve başarısız olduğu
dersler ile hiç almadığı dersleri öncelikli olarak almak zorundadır. Bu dersler farklı
dönemlerden ise en alttaki dönem derslerinden başlamak şartı ile dersleri alır."
"Seçmeli dersleri seçmek
zorunda mıyım? ",Dönem içerisinde açılan teknik ve sosyal derslerin hepsinin alınması gerekmektedir.
"Dönem içerisinde ders
kaydımı yapmadım.
Danışmanım benim
yerime yapabilir mi?","Hayır. Öğrencilerin ders kayıtlarını yapmaları kendi sorumluklarıdır. Bu konuda her
türlü sorumluluk öğrenciye aittir (Ders kaydı yapıp kesinleştirmeyen öğrenciler de
dahildir). "
"Uzaktan eğitimde
öğrenci kaydım yoksa ne
yapmam gerekir?","Uzaktan eğitim komisyonu ile iletişime geçilmesi gerekmektedir. Bunun için Arş.
Gör. Gamze Pelin AKSOY’a başvurunuz."
"Uzaktan eğitimde
derslerim görünmüyor.
Ne yapmam gerekir?","Dönem başından itibaren uzaktan eğitim sisteminde senkranizasyon yapılmaktadır.
Ders kayıtlarının bitim sürecinin ardından sistem üzerinden dersler halen
görülmüyorsa, Arş. Gör. Gamze Pelin AKSOY ile iletişime geçiniz. "
"Tek ders sınavları ne
zaman yapılır? ",Birinci dönemin sonunda ve yaz okulunun sonunda terk ders sınavı gerçekleştirilir.
"Çift ders sınavına ne
zaman katılabilirim? ",Çift ders sınavı ikinci dönemin sonunda gerçekleştirilir.
"Tek ders ve çift ders
sınavlarına nasıl
başvurabilirim?","Öğrenciler sınavlara girmek için danışmanlarına dilekçe vermelidir. Danışmanların
öğrencinin tek ya da çift ders sınavına girmesini uygun bulması durumunda sınava
girilir."
"Tek ders ya da çift ders
sınav dilekçesini nerden
bulabilirim?",Gerekli belgelere bölümün ana web sayfasından ulaşabilirsiniz.
"Yaz okulunda başka
bölüm ve üniversiteden
ders alabilir miyim?","Öğrencinin almak istediği derslerin çoğunluğu hangi üniversitede açılmış ise,
derslerini o üniversiteden alabilir. Aksi takdirde açılan dersleri üniversitemizden
alması zorunludur."
"Yaz okulunda hangi
dersleri seçebilirim?","Yaz okulunda ders alabilmek için aşağıdaki hususlar dikkate alınmaktadır;
1) Dersin daha önceki dönemlerden alınıp, başarısız olunması durumunda,
2) Devam zorunluluğu olan bir dersin alınmamış olması durumunda,
3) Üst dönemlerden ders alma şartları sağlanıyorsa, üst dönemlerden ders
alınabilir."
"Yaz okulunda ders
aldım, ancak ders
açılmadı. Harç ücretimi
nasıl geri alabilirim?",Harç ücretini geri alabilmek için dilekçe verilmelidir. İlgili dilekçeye yaz okulu ile ilgili web sitesinden ulaşabilirsiniz.
"Yaz okulunda farklı bir
üniversiteden ders
almam için ne yapmam
gerekiyor?","Öğrencinin başka üniversiteden ders alması için, ilgili birim program/bölüm
başkanlığının ders eşdeğerliğine ilişkin uygun görüşü ve Müdürlüğün/Dekanlığın
onayı gereklidir."
"Yaz okulunda farklı bir
üniversiteden ders aldım.
Notum sisteme nasıl
işlenecek?","Diğer üniversitelerden alınan derslere ait başarı notları, ilgili birimin yönetim
kurulunca onaylandıktan sonra, Öğrenci İşleri Daire başkanlığı tarafından
otomasyona işlenir."
"Yaz okulunda en fazla
kaç adet ders alabilirim?","Bir öğrenci öğrenimi süresince diğer üniversitelerin yaz okulundan; önlisans
eğitiminde toplam 12 saati aşmamak üzere en fazla 3 ders, lisans eğitiminde toplam
24 saati aşmamak üzere en fazla 6 ders alabilir."
"Yaz okulunda bitirme
projesi dersini alabilir
miyim?","Mezuniyet için sadece Bitirme Ödevi/Bitirme Projesi/Bitirme Tezi vb. bireysel
çalışma gerektiren bir dersten kalan öğrenci, bu dersini Yaz Okulunda alabilir. Bu
derslerin açılması için kontenjan sınırı aranmaz."
"Yaz okulundan ders
alırken stajımı yapabilir
miyim?","Yaz Okulunda ders alan öğrenci, eşzamanlı olarak yaz stajı yapamaz. Yaz Okulu ve
yaz stajı günleri kısmen de olsa çakışamaz. Ancak mezuniyet için sadece yaz
stajı/stajları kalmış olan bir öğrenci, Yaz Okulu sürecinde hem staj derslerine
kaydolabilir hem de stajlarını yapabilir.
Bir öğrenci, yaz stajını Yaz Okulu başlangıç tarihinden önce tamamlamış ise, diğer
dersleri ile birlikte staj dersini de alabilir. Alabileceği toplam ders sayısı staj/stajlar
dahil toplam 3 dersi aşamaz."
"Yatay geçiş ile kaydımı
gerçekleştirdim. Ders
kaydını ne zaman
yapabilirim?","Muafiyet işlemleri tamamlanıp, Öğrenci işleri tarafından derslerin notları sisteme
eklendikten sonra kayıt yapılabilir."
"Yatay geçiş ile bölüme
geçtim. Muafiyetim
yapıldıktan sonra ne
zaman muafiyete itiraz
edebilirim?","Muafiyet işlemleri tamamlandıktan sonra, 1 ay içerisinde itiraz edilebilir."
"EK madde 1 ile yatay
geçiş yapmak isteyen
öğrenciler, hangi
dönemler arasında yatay
geçişe başvurabilir?","Öğrencilerin EK madde 1 kapsamında yatay geçiş yapabilmek için başvurabilecekleri dönemleri öğrenmek istediği bir durumu ifade eder. Bu soru, öğrencilerin yatay geçiş başvuru süreçlerini planlamak ve uygun zamanlamayı belirlemek için bilgi almak amacıyla sorulmuş olabilir. Öğrenciler, yatay geçiş başvuru dönemleri hakkında bilgi almak için ilgili üniversitenin web sitesini veya ilgili birimlerini takip edebilirler.





"
"EK madde 1 ile yatay
geçiş yaptım. Kurumlar
arası ve kurum içi yatay
geçişten faydalanabilir
miyim?","Evet, faydalanılır."
Yazılım Mühendisliği Uluslararası Ortak Lisans Programı (UOLP) nedir?,Fırat Üniversitesi Teknoloji Fakültesi Yazılım Mühendisliği Uluslararası Ortak Lisans Programı (UOLP) Amerika Birleşik Devletleri Texas Eyaletinde bulunan Sam Houston State Üniversitesi ile birlikte ortak yürütülen bir programdır. Üniversitelerarası Kurul (ÜAK) ve Yükseköğretim Kurulunun (YÖK) onayları ile kurulmuş Devlet Üniversitesi bünyesindeki bir çift diploma programıdır. Daha detaylı bilgi için lütfen web sitesini ziyaret ediniz.
"Bitirme Projesi nedir, detaylı bilgiye nasıl ulaşabilirim?",Bitirme Projesi ile ilgili detaylı bilgiyi akademik danışmanınızdan veya bölümün resmi web sayfasından ulaşabilirsiniz.
